date	reach	new_followers
2026-08-17	5153	0
2026-08-18	878	0
2026-08-19	129	0
2026-08-20	173	0
2026-08-21	1061	0
2026-08-22	389	2
2026-08-23	122	0
2026-08-24	2945	2
2026-08-25	1029	1
2026-08-26	615	1
2026-08-27	844	1
2026-08-28	3088	1
2026-08-29	2379	1
2026-08-30	2332	0
2026-08-31	6470	1
2026-09-01	349	0
2026-09-02	46	2
2026-09-03	1136	0
2026-09-04	208	0
2026-09-05	604	0
2026-09-06	3434	3
2026-09-07	2933	0
2026-09-08	287	0
2026-09-09	167	0
2026-09-10	2328	1
2026-09-11	67	1
2026-09-12	39	0
2026-09-13	1273	0
2026-09-14	2511	0
2026-09-15	2652	0
