media_id	timestamp_utc	format	views	reach	likes	comments	shares	saves	interactions	avg_watch_ms	caption_summary
18102111380627764	2026-09-09T19:36:57	REELS	179	155	8	0	0	0	8	4554	Just be yourself. What's the worst that can happen.
18145706905481217	2026-09-03T17:56:56	REELS	1645	1292	113	1	3	5	138	5174	This should explain it.
18108714785143613	2026-08-30T00:34:55	FEED_IMAGE	36	26	1	0	0	0	1	0	Oo baby!
17904626316518218	2026-08-29T15:48:57	REELS	3400	3164	35	4	1	2	44	10141	FASS fuel system install (brand tag)
18137235466615349	2026-08-28T12:27:27	REELS	1972	1606	70	0	2	9	83	5137	Watch yourself brother
17913280431451767	2026-08-27T20:08:51	REELS	1564	1240	77	0	4	8	95	5505	Don't be afraid!
18113948983983701	2026-08-25T15:54:49	REELS	244	231	5	0	0	0	5	4610	Every time.
17875778691546135	2026-08-25T12:37:40	REELS	137	119	5	0	0	0	5	15649	This one just drives all the way home.
18070648097727306	2026-08-24T12:45:06	REELS	3449	3037	124	0	29	4	168	5703	Aaaaah yeah so there that
18106912637585094	2026-08-22T22:55:27	REELS	527	456	12	0	1	0	13	4610	It helps me stay focused okay?!
17983497137875163	2026-08-20T14:04:11	REELS	152	143	1	0	1	0	2	3151	Small update - fuel system / body kit plans
18113800618985163	2026-08-17T12:09:37	REELS	2620	2110	91	2	4	1	106	5251	And just like that...
17888049561436420	2026-08-14T22:06:50	FEED_IMAGE	117	93	1	1	1	0	4	0	Tire Wheel Experts hookup (brand tag)
18135476377618191	2026-08-13T23:30:20	REELS	282	262	3	0	0	0	3	7947	Changing to industrial pump
18121242052877351	2026-08-13T00:24:50	REELS	1760	1695	7	1	1	0	9	2529	Glasses from twosvge / project truck chief
17928239319379642	2026-08-12T12:43:05	REELS	69	50	3	0	1	0	4	4665	Words of wisdom
18110040275004540	2026-08-11T00:39:42	REELS	329	300	2	1	0	0	3	6162	Diving into world of diesel trucks
18118628225491521	2026-08-05T14:50:31	FEED_IMAGE	75	49	3	0	0	0	4	0	Just a little something for you today.
17943227136054419	2026-07-29T22:41:52	FEED_IMAGE	221	145	4	2	0	0	8	0	Aaa yeah
17989391843833662	2026-07-24T17:43:09	REELS	260008	171025	1241	37	6	37	1355	26891	Well it seemed like a good idea...
18104746508143822	2026-07-24T15:53:41	FEED_IMAGE	138	92	3	0	0	0	3	0	Chief made it to Wyoming
18113703073927388	2026-07-24T01:49:16	FEED_IMAGE	81	57	6	0	0	0	6	0	Leaving Utah heading to Wyoming
18094449320049848	2026-07-21T23:02:11	REELS	372	303	3	0	0	0	3	5027	Interior work ahead
17959250709169095	2026-07-17T22:46:44	REELS	351	327	12	0	1	1	15	4808	It's simple
18136945669576059	2026-07-12T00:06:54	FEED_IMAGE	57	37	3	0	0	0	3	0	MEET CHIEF origin story
18188782954382948	2026-07-07T04:35:08	REELS	82	54	4	0	0	0	4	6440	Hits too close to home
17906119860442888	2026-07-03T18:30:21	FEED_IMAGE	148	64	5	0	0	0	5	0	New boot goofin
18072749828686242	2026-07-03T13:31:09	REELS	246	218	8	2	0	1	11	6037	Sometimes best to start fresh
18108651044057902	2026-07-02T04:26:26	FEED_CAROUSEL	173	101	11	0	1	0	15	0	Just go for it! I know I did!
17889759381567671	2026-07-01T13:39:21	REELS	404	369	4	1	1	0	6	9133	Derale transmission cooler (brand tag)
18100340975109962	2026-07-01T00:41:15	REELS	336	269	11	2	0	0	13	9122	ISSPRO pillar+gauges unboxing (brand tag)
17955549981164780	2026-06-30T19:26:42	REELS	1144	754	20	0	1	2	23	5612	Just go for it!
18120136375696255	2026-06-30T01:52:13	REELS	5157	3636	419	73	17	10	562	5849	It may cost you nothing, but to me it means everything.
18088870163631332	2026-06-29T14:46:58	REELS	645	533	7	1	9	1	19	6089	Always make sure you are ready for the job
18117395554870739	2026-06-27T20:57:38	REELS	319	254	4	0	0	1	5	4210	Read that again.
18193466518374406	2026-06-26T12:25:17	REELS	260	204	8	2	0	0	10	8244	I have nothing else to say on this.
18131988130592050	2026-06-26T05:03:45	REELS	1442	1155	58	0	6	5	75	5339	Yeah that about sums it up.
17932379892303181	2026-06-25T23:19:40	REELS	240	178	3	0	0	0	3	4674	Day one or one day you choose.
