date	video_id	title	priority
2026-09-14	ouJ2bADHSug	13 NEW Instagram Posts That Go VIRAL Every Time	1
2026-08-31	cDcCEZjikKg	How To Beat The NEW Instagram Reels Jail	1
2026-08-29	csRFIEk-y-o	How to HACK the IG Algorithm!	1
2026-08-27	MX-Emk6vkE4	What Getting 2 Billion Views Taught Me About Human Psychology	1
2026-08-24	_pkUQqA2w3I	9 Instagram Post Ideas To Get 597K Views On Reels	1
2026-08-13	LgotQKHJ0ok	8 Mistakes Destroying Your Instagram	1
2026-08-10	nrkeLfjGZvM	25 Psychology Tricks for Viral Reels	1
2026-07-30	2dL0b0wZdZo	NEW Instagram Algorithm Update | 10 Leaks Direct from the CEO	1
2026-07-24	Ek0jZ85c6rc	STOP posting Reels like this...	1
2026-03-02	QTgabAQ9kCU	I Studied 1,300 Hooks, Here's What Actually Works	1
2026-08-07	sYzc_80QtzI	Steal these easy hook ideas	2
2026-08-03	UpSlFTVdiP8	7 Steps to Make Money with a Small Instagram	2
2026-06-22	3_rL_E88x-k	How To Go Viral EVERY TIME - The Secret to the Algorithm	2
2026-06-08	4uhfJLwOBuM	10 NEW Instagram Algorithm Updates: June 2026	2
2026-06-04	EDxTxachl0U	Instagram Reels Tutorial 2026: How I Actually Edit My Posts	2
2026-06-01	Qr2rHFP4-G4	8 Secret Hacks to Grow on Instagram	2
2026-05-11	O_rsTEiUSrU	Give Me 23 Minutes, I Guarantee I Will Blow Up Your Instagram	2
2026-04-27	h7Wkd7ziDhA	16 Easy Instagram Reels that are Proven to Go Viral	2
2026-04-23	igV6Ll8c7lI	The Attention Formula: How To Make Addictive Reels	2
2026-04-13	WIgXSoQSZMs	Hashtags Are Dead | How To 10X Followers Without Them	2
2026-04-09	a34p7BHRryQ	NEW Instagram Algorithm April 2026 | Direct From CEO	2
2026-04-06	ElEhpmx5lnY	How to BECOME KNOWN on Instagram in 2026	2
2026-03-20	hOi_v4hioxo	Stop filming your Reels like this!	2
2026-02-26	4GMo8FNPpZ0	He Beat The Instagram Algorithm | 39K Followers in 90 days	2
2026-02-15	2RGVjUcHNAQ	Getting shares on Instagram	2
2026-02-12	uJxQv4H_mOQ	10X Your Instagram Followers in 30 Days with These New Reels	2
2026-02-09	TwrUvnFwcfc	NEW Instagram Algorithm | 10 Changes Direct From CEO	2
2026-02-02	1OOw7yd5beE	How To Grow on Instagram in 2026 | From 0 Followers	2
2026-01-12	twZUZCoazjw	1 Million Followers in 2026 - My EXACT Instagram Strategy	2
2026-01-05	p5XTBTLeM7c	These 11 Viral Instagram Reels Ideas	2
2026-06-24	nNLWRInkVvg	How to do a comment reply reel	3
2026-06-21	8T2NvEBbFJ4	Train your followers like you would train a dog	3
2026-02-16	UgkNKDezyiU	Watch This to Fix Shadowban on Instagram in 2026	3
2026-02-23	275pX26Kols	Is Your Instagram Dead? Should You Start Over?	3
2026-01-15	SxQVNxw5gwY	12 Tips to BOOST VIEWS on Instagram in 2026	3
2025-12-22	ooCESNnwqso	Grow On Instagram In Just 10 Minutes Per Day: 2026 Update	3
2025-12-08	Imu3qUdifZg	Hashtags Don't Work On Instagram | Here's What Does	3
2025-11-10	GPfBBoroS-E	Complete Guide To Growing On Instagram With Trial Reels	3
2025-11-03	SanUx9tKrMo	9 NEW Instagram Updates You Need To Know in 2026	3
2025-10-06	-Qi9-ZT1_GE	The BRAND NEW Instagram Algorithm | Direct From CEO	3
2025-09-11	XPdfSb1umG4	7 Types of Reels the Instagram Algorithm LOVES in 2026	3
2025-08-21	eg_Ay332RMQ	Head of @InstagramForBusiness Unlocks Secret to Growing in 2026	3
2025-07-10	L7jDiYGf4bc	10x Your Followers in 30 days with Instagram SEO	3
2025-07-24	2WHJv3Xo28Y	How To Create Viral Hooks That Actually Get Views	3
2025-05-15	pWNDkFuV0RY	Complete Guide To Shareworthy Content	3
2025-04-17	jzO3T2AiX_I	Reacting to My Interview with Adam Mosseri	3
2025-03-27	bnFw6s8KTeA	How I Got To Interview Adam Mosseri	3
2025-02-27	LHFiqFa6tfc	The REAL Reason You Are NOT Getting Followers	3
